room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay
Entire home/apt,CENTRE,SUNNYSIDE,19,5,4,2,188,2
Private room,WEST,ROSSCARROCK,23,4.5,2,1,29,1
Private room,CENTRE,TUXEDO PARK,6,5,2,1,32,1
Entire home/apt,CENTRE,ALTADORE,1,,2,1,80,3
Entire home/apt,CENTRE,BANKVIEW,9,5,4,2,79,2
Entire home/apt,CENTRE,BELTLINE,23,5,6,2,164,2
Private room,NORTHEAST,SADDLE RIDGE,0,,2,1,81,1
Entire home/apt,CENTRE,CHINATOWN,0,,5,2,151,3
Entire home/apt,CENTRE,BELTLINE,0,,4,1,71,1
Entire home/apt,NORTHWEST,MONTGOMERY,15,5,6,2,180,3
Private room,SOUTH,LAKE BONAVISTA,0,,1,1,68,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,2,1,40,3
Private room,SOUTH,ACADIA,0,,2,1,48,1
Private room,SOUTH,CANYON MEADOWS,7,5,2,1,39,1
Entire home/apt,CENTRE,MOUNT PLEASANT,7,5,10,4,201,2
Private room,CENTRE,MISSION,0,,2,1,121,1
Shared room,WEST,GLENBROOK,0,,1,1,80,1
Entire home/apt,CENTRE,BANKVIEW,18,5,4,2,95,2
Private room,CENTRE,RAMSAY,0,,2,1,40,1
Private room,CENTRE,WINSTON HEIGHTS/MOUNTVIEW,2,,2,1,53,1
Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,2,,4,2,80,
Entire home/apt,CENTRE,BELTLINE,31,5,2,1,95,7
Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,0,,4,2,151,2
Private room,CENTRE,CAMBRIAN HEIGHTS,0,,1,1,60,1
Private room,SOUTH,SHAWNESSY,4,4.5,2,1,36,1
Entire home/apt,CENTRE,BELTLINE,0,,4,1,212,3
Private room,SOUTHEAST,COPPERFIELD,9,5,1,1,28,1
Private room,CENTRE,HILLHURST,3,5,2,1,40,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,1,,2,1,72,2
Private room,NORTHEAST,PINERIDGE,3,5,1,1,20,1
Private room,NORTHWEST,BOWNESS,3,4.5,2,1,29,1
Private room,CENTRE,CAPITOL HILL,1,,2,1,36,2
Entire home/apt,CENTRE,WINSTON HEIGHTS/MOUNTVIEW,57,5,2,1,44,4
Private room,EAST,ALBERT PARK/RADISSON HEIGHTS,4,5,2,1,53,1
