room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay
Entire home/apt,CENTRE,ERLTON,2,,5,2,68,3
Private room,SOUTHEAST,DOUGLASDALE/GLEN,0,,2,1,41,1
Entire home/apt,CENTRE,SUNALTA,60,5,2,1,76,
Private room,SOUTH,ACADIA,2,,1,1,44,2
Entire home/apt,CENTRE,CHINATOWN,10,5,3,0,72,3
Entire home/apt,NORTHWEST,VARSITY,12,4.5,12,6,183,
Private room,CENTRE,DOWNTOWN WEST END,0,,1,1,80,1
Private room,CENTRE,RENFREW,1,,2,1,61,1
Private room,NORTHWEST,MONTGOMERY,6,5,2,1,39,
Entire home/apt,NORTHEAST,MAYLAND HEIGHTS,1,,4,3,88,4
Entire home/apt,CENTRE,SUNNYSIDE,3,5,8,3,127,2
Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,3,5,4,2,72,3
Private room,NORTHEAST,CITYSCAPE,70,5,2,1,43,1
Entire home/apt,CENTRE,BELTLINE,5,5,3,1,134,1
Entire home/apt,CENTRE,BELTLINE,26,5,6,2,76,1
Entire home/apt,NORTHWEST,VARSITY,0,,5,4,65,1
Private room,CENTRE,CRESCENT HEIGHTS,2,,2,1,61,2
Entire home/apt,CENTRE,BELTLINE,38,5,4,1,64,3
Private room,CENTRE,SHAGANAPPI,14,5,2,1,28,
Private room,CENTRE,HIGHLAND PARK,15,4.5,2,1,26,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,2,1,100,4
Entire home/apt,NORTH,KINCORA,33,4.5,6,2,75,2
Private room,NORTHWEST,UNIVERSITY HEIGHTS,27,5,1,1,35,1
Entire home/apt,CENTRE,DOWNTOWN WEST END,3,4,2,1,79,3
Private room,CENTRE,DOWNTOWN EAST VILLAGE,9,5,1,1,54,1
Entire home/apt,CENTRE,BELTLINE,55,4.5,3,2,68,1
Entire home/apt,CENTRE,RENFREW,16,4.5,2,1,76,2
Private room,CENTRE,BELTLINE,0,,1,1,39,1
Entire home/apt,CENTRE,BELTLINE,1,,4,2,119,2
Entire home/apt,CENTRE,BELTLINE,3,4.5,2,1,113,1
Entire home/apt,CENTRE,TUXEDO PARK,7,4.5,8,2,67,
Entire home/apt,CENTRE,BELTLINE,2,,2,1,80,3
Entire home/apt,NORTHWEST,EDGEMONT,7,5,15,5,241,2
Private room,NORTHEAST,MARLBOROUGH,60,5,2,1,30,1
Entire home/apt,NORTHWEST,MONTGOMERY,0,,4,2,79,1
Entire home/apt,CENTRE,HILLHURST,1,,5,2,300,3
Entire home/apt,SOUTHEAST,OGDEN,0,,4,2,111,15
Entire home/apt,CENTRE,SUNNYSIDE,4,5,3,1,76,1
Private room,CENTRE,BELTLINE,1,,2,1,75,1
Private room,NORTHWEST,TUSCANY,1,,2,1,47,1
Entire home/apt,CENTRE,RAMSAY,0,,6,3,200,3
Entire home/apt,CENTRE,INGLEWOOD,0,,4,2,61,1
Private room,CENTRE,WEST HILLHURST,0,,2,1,48,1
Entire home/apt,CENTRE,BELTLINE,2,,4,1,56,1
Entire home/apt,NORTHWEST,CITADEL,4,5,4,2,104,3
Private room,NORTHWEST,EDGEMONT,3,5,2,1,24,1
Private room,CENTRE,DOWNTOWN COMMERCIAL CORE,5,5,2,1,32,1
Private room,CENTRE,CLIFF BUNGALOW,0,,2,1,108,2
Private room,SOUTHEAST,RIVERBEND,0,,1,1,40,7
Entire home/apt,CENTRE,SUNNYSIDE,5,5,4,2,97,2
Private room,CENTRE,HIGHWOOD,0,,3,1,72,1
Private room,WEST,ASPEN WOODS,1,,1,1,48,1
Entire home/apt,CENTRE,HOUNSFIELD HEIGHTS/BRIAR HILL,2,,6,4,119,3
Private room,CENTRE,INGLEWOOD,5,4.5,2,1,36,1
Entire home/apt,SOUTHEAST,OGDEN,4,5,6,3,72,1
Entire home/apt,CENTRE,BELTLINE,10,4.5,2,1,87,2
Entire home/apt,CENTRE,BANFF TRAIL,32,5,4,2,80,2
Entire home/apt,NORTHWEST,MONTGOMERY,2,,12,4,140,1
Entire home/apt,EAST,FOREST LAWN,0,,2,1,80,3
Entire home/apt,CENTRE,MISSION,1,,4,1,64,1
Entire home/apt,CENTRE,MISSION,4,5,3,1,76,2
Entire home/apt,NORTHWEST,SCENIC ACRES,0,,6,3,121,10
Entire home/apt,CENTRE,CRESCENT HEIGHTS,11,4.5,10,3,340,3
Private room,CENTRE,CRESCENT HEIGHTS,3,4.5,2,1,33,
Entire home/apt,NORTHWEST,VARSITY,2,,6,4,200,3
Private room,CENTRE,CRESCENT HEIGHTS,86,5,2,1,32,1
Private room,EAST,ALBERT PARK/RADISSON HEIGHTS,16,5,2,1,27,1
Private room,NORTH,BEDDINGTON HEIGHTS,1,,1,1,40,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,1,,4,2,119,2
Entire home/apt,NORTHWEST,ARBOUR LAKE,0,,2,1,92,5
Private room,CENTRE,TUXEDO PARK,6,5,2,1,29,1
Private room,CENTRE,SUNNYSIDE,21,5,2,1,20,2
Private room,SOUTH,ACADIA,4,4,1,1,32,1
Entire home/apt,CENTRE,INGLEWOOD,2,,2,0,71,1
Private room,SOUTH,FAIRVIEW,0,,2,1,71,2
Entire home/apt,EAST,APPLEWOOD PARK,0,,4,2,80,1
Entire home/apt,CENTRE,BELTLINE,36,5,4,1,96,1
Private room,CENTRE,PARKDALE,5,5,2,1,60,1
Entire home/apt,CENTRE,CRESCENT HEIGHTS,114,5,4,2,63,1
Private room,NORTHEAST,CITYSCAPE,64,5,1,1,23,1
Private room,EAST,FOREST LAWN,78,4.5,1,1,24,1
Entire home/apt,CENTRE,RAMSAY,5,5,5,3,240,2
Entire home/apt,CENTRE,SUNNYSIDE,4,5,3,1,80,1
Entire home/apt,CENTRE,KILLARNEY/GLENGARRY,0,,2,0,80,1
Entire home/apt,NORTHWEST,BRENTWOOD,10,4.5,4,2,88,3
Shared room,SOUTHEAST,MAHOGANY,0,,2,1,40,1
Private room,NORTH,HUNTINGTON HILLS,6,4.5,2,1,21,3
Entire home/apt,CENTRE,BANKVIEW,10,4.5,4,2,56,2
Private room,WEST,SIGNAL HILL,5,4.5,2,1,25,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,2,0,135,
Private room,CENTRE,WINDSOR PARK,3,5,2,1,29,4
Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,0,,1,1,143,2
Private room,CENTRE,INGLEWOOD,6,5,3,1,56,1
Private room,NORTHEAST,MARLBOROUGH PARK,13,5,2,1,20,2
Entire home/apt,EAST,FOREST LAWN,1,,2,2,48,1
Private room,CENTRE,BELTLINE,4,5,1,1,80,1
Private room,CENTRE,SOUTH CALGARY,55,5,2,1,39,
Private room,CENTRE,BELTLINE,8,5,2,1,48,1
Entire home/apt,CENTRE,RENFREW,53,5,2,1,76,4
Entire home/apt,CENTRE,WEST HILLHURST,21,5,2,1,50,2
Entire home/apt,CENTRE,SUNALTA,0,,2,1,56,1
Private room,SOUTH,CHAPARRAL,0,,2,1,39,1
Entire home/apt,SOUTH,EVERGREEN,1,,4,3,96,1
Entire home/apt,CENTRE,SCARBORO,4,5,6,2,108,3
Private room,CENTRE,BELTLINE,3,5,2,1,79,1
Private room,CENTRE,INGLEWOOD,38,4.5,2,1,54,1
Entire home/apt,CENTRE,BELTLINE,1,,2,1,96,2
Entire home/apt,CENTRE,RENFREW,0,,4,2,240,7
Entire home/apt,CENTRE,BELTLINE,3,3,4,2,108,2
Private room,NORTH,HARVEST HILLS,0,,1,1,36,3
Private room,NORTHWEST,SCENIC ACRES,2,,2,1,53,1
Entire home/apt,NORTHWEST,MONTGOMERY,0,,4,2,128,1
Entire home/apt,CENTRE,ERLTON,2,,5,2,80,3
Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,0,,4,2,100,2
Shared room,NORTHWEST,UNIVERSITY HEIGHTS,2,,4,1,23,1
Shared room,CENTRE,BELTLINE,1,,1,1,39,1
Shared room,CENTRE,TUXEDO PARK,3,4,1,1,20,1
Shared room,WEST,GLENBROOK,2,,1,1,23,7
Shared room,CENTRE,SUNNYSIDE,0,,1,1,40,1
Shared room,CENTRE,SUNNYSIDE,0,,1,1,40,1
Shared room,CENTRE,TUXEDO PARK,1,,1,1,24,1
Shared room,NORTH,HUNTINGTON HILLS,0,,1,1,72,2
Shared room,NORTHWEST,UNIVERSITY HEIGHTS,0,,1,1,24,1
Shared room,CENTRE,POINT MCKAY,0,,2,1,40,1
Shared room,NORTHWEST,CHARLESWOOD,0,,1,1,44,1
Shared room,CENTRE,MISSION,0,,3,1,46,1
Shared room,CENTRE,HILLHURST,0,,1,1,28,3
Shared room,NORTHWEST,ARBOUR LAKE,0,,1,1,28,1
Shared room,CENTRE,HIGHLAND PARK,1,,1,1,26,1
Shared room,CENTRE,BRIDGELAND/RIVERSIDE,4,5,1,1,27,1
Shared room,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,1,1,121,1
Shared room,CENTRE,CAPITOL HILL,0,,1,1,80,1
Shared room,CENTRE,BELTLINE,0,,1,1,412,1
Shared room,NORTHWEST,CITADEL,0,,1,1,26,1
Shared room,WEST,GLENBROOK,0,,1,1,48,7
Shared room,CENTRE,SUNNYSIDE,0,,1,1,70,1
Shared room,NORTHEAST,WHITEHORN,11,4,10,1,39,1
Shared room,CENTRE,BRIDGELAND/RIVERSIDE,0,,1,1,32,1
Shared room,SOUTH,SHAWNESSY,0,,1,1,23,10
Shared room,SOUTH,HAYSBORO,0,,3,1,61,3
Shared room,CENTRE,BELTLINE,0,,1,1,32,1
Shared room,CENTRE,HIGHLAND PARK,0,,2,1,36,1
Shared room,NORTHWEST,TUSCANY,0,,1,1,24,1
Shared room,CENTRE,SHAGANAPPI,0,,1,1,72,1
Shared room,CENTRE,DOWNTOWN EAST VILLAGE,0,,1,1,400,1
Shared room,CENTRE,SUNALTA,0,,1,1,41,1
Shared room,EAST,PENBROOKE MEADOWS,17,4.5,1,1,15,1
Shared room,CENTRE,BELTLINE,0,,2,1,40,1
Shared room,NORTHWEST,VARSITY,6,5,1,1,28,1
Shared room,CENTRE,SOUTH CALGARY,0,,2,1,80,1
Shared room,CENTRE,RENFREW,2,,1,1,31,1
Shared room,SOUTHEAST,OGDEN,2,,1,1,18,1
Shared room,EAST,FOREST LAWN,64,4.5,1,1,20,1
Shared room,CENTRE,BELTLINE,10,4,1,1,20,1
Shared room,CENTRE,CAPITOL HILL,5,5,1,1,47,1
Shared room,NORTHWEST,BRENTWOOD,6,4.5,1,1,23,1
Shared room,CENTRE,CLIFF BUNGALOW,50,4.5,2,1,27,2
Shared room,CENTRE,MISSION,8,5,3,1,28,1
Entire home/apt,SOUTH,KINGSLAND,8,5,10,5,112,1
Entire home/apt,SOUTH,SHAWNESSY,3,4.5,10,4,176,1
Entire home/apt,SOUTH,OAKRIDGE,3,5,4,2,100,4
Entire home/apt,SOUTH,WOODLANDS,0,,2,1,46,1
Entire home/apt,SOUTH,CANYON MEADOWS,0,,5,3,88,1
Entire home/apt,SOUTH,WOODBINE,1,,6,3,40,3
Entire home/apt,SOUTH,SOMERSET,8,4.5,6,3,96,1
Entire home/apt,CENTRE,ALTADORE,0,,4,2,68,1
Entire home/apt,SOUTH,HAYSBORO,0,,4,4,64,7
Entire home/apt,SOUTH,HAYSBORO,1,,4,2,55,1
Entire home/apt,CENTRE,ALTADORE,0,,9,5,215,5
Entire home/apt,SOUTH,SOMERSET,0,,10,5,144,4
Entire home/apt,CENTRE,MEADOWLARK PARK,0,,6,4,160,2
Entire home/apt,CENTRE,BEL-AIRE,0,,4,2,280,1
Entire home/apt,SOUTH,BRAESIDE,0,,6,3,152,6
Entire home/apt,SOUTH,OAKRIDGE,8,5,4,2,100,4
Entire home/apt,CENTRE,MEADOWLARK PARK,4,4.5,2,1,79,1
Entire home/apt,SOUTH,BRAESIDE,8,5,6,3,160,3
Entire home/apt,SOUTH,SOMERSET,11,5,6,2,88,1
Entire home/apt,WEST,LAKEVIEW,0,,4,2,68,4
Entire home/apt,SOUTH,SHAWNEE SLOPES,3,,8,4,192,
Entire home/apt,SOUTH,HAYSBORO,2,,4,2,136,2
Entire home/apt,SOUTH,OAKRIDGE,1,,4,1,84,1
Entire home/apt,SOUTH,SHAWNESSY,0,,6,3,188,15
Entire home/apt,SOUTH,OAKRIDGE,3,4.5,4,2,116,5
Entire home/apt,SOUTH,SOMERSET,0,,6,4,100,5
Private room,NORTHWEST,EDGEMONT,4,5,3,1,60,1
Private room,CENTRE,BANKVIEW,13,5,2,1,32,1
Entire home/apt,CENTRE,BELTLINE,7,4,4,2,140,2
Private room,CENTRE,RAMSAY,1,,2,1,44,1
Entire home/apt,CENTRE,BELTLINE,9,5,5,2,100,1
Private room,WEST,PATTERSON,6,4.5,2,1,41,2
Private room,CENTRE,UPPER MOUNT ROYAL,3,5,2,1,40,1
Entire home/apt,CENTRE,MISSION,2,,2,1,119,4
Private room,CENTRE,BANFF TRAIL,1,,1,1,48,1
Private room,NORTHEAST,SADDLE RIDGE,0,,2,1,39,3
Private room,SOUTH,CANYON MEADOWS,0,,2,1,29,1
Entire home/apt,CENTRE,BELTLINE,1,,6,2,128,1
Private room,NORTHWEST,BOWNESS,76,5,2,1,53,1
Entire home/apt,CENTRE,BELTLINE,3,5,4,2,132,3
Private room,SOUTHEAST,MCKENZIE TOWNE,0,,2,1,76,2
Entire home/apt,CENTRE,HILLHURST,1,,3,3,160,3
Entire home/apt,CENTRE,CRESCENT HEIGHTS,3,5,4,1,100,7
Entire home/apt,SOUTH,BRIDLEWOOD,11,5,8,4,180,2
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,2,,4,2,112,4
Private room,CENTRE,HIGHLAND PARK,0,,2,1,36,2
Private room,CENTRE,KILLARNEY/GLENGARRY,7,5,2,1,44,1
Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,0,,4,1,121,1
Private room,EAST,FOREST LAWN,0,,2,1,71,1
Private room,CENTRE,SOUTH CALGARY,0,,2,1,36,
Private room,SOUTH,SHAWNESSY,0,,2,1,47,1
Private room,NORTHEAST,WHITEHORN,1,,2,1,32,1
Private room,CENTRE,GARRISON WOODS,9,5,4,1,80,1
Entire home/apt,CENTRE,SUNNYSIDE,4,5,3,2,79,1
Private room,CENTRE,BANKVIEW,10,5,2,1,44,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,2,1,140,1
Private room,CENTRE,MOUNT PLEASANT,0,,2,1,31,2
Private room,CENTRE,BELTLINE,7,5,2,1,47,1
Private room,SOUTHEAST,MCKENZIE TOWNE,1,,2,1,44,1
Entire home/apt,CENTRE,CRESCENT HEIGHTS,0,,2,0,236,1
Entire home/apt,CENTRE,MISSION,8,5,2,1,79,1
Entire home/apt,CENTRE,SUNNYSIDE,0,,4,2,121,1
Entire home/apt,CENTRE,BELTLINE,39,5,5,2,119,2
Private room,CENTRE,BANFF TRAIL,5,4,1,1,32,2
Entire home/apt,CENTRE,BELTLINE,0,,2,1,80,2
Private room,SOUTH,EVERGREEN,16,5,2,1,28,2
Private room,SOUTH,FAIRVIEW,24,5,3,1,32,1
Private room,SOUTH,SILVERADO,0,,2,1,40,1
Private room,CENTRE,PARKHILL,6,5,4,1,56,1
Private room,WEST,GLENBROOK,10,4.5,1,1,24,2
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,4,2,76,3
Entire home/apt,CENTRE,RENFREW,1,,5,2,100,4
Private room,SOUTH,CHAPARRAL,0,,2,1,55,1
Entire home/apt,CENTRE,BELTLINE,0,,4,2,261,1
Entire home/apt,CENTRE,BELTLINE,0,,2,1,79,3
Entire home/apt,CENTRE,BELTLINE,3,4.5,4,2,119,2
Entire home/apt,CENTRE,CHINATOWN,1,,2,1,61,
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,121,4.5,4,1,63,1
Entire home/apt,CENTRE,BELTLINE,1,,2,1,103,2
Private room,CENTRE,INGLEWOOD,8,4.5,2,1,32,1
Entire home/apt,CENTRE,EAU CLAIRE,0,,2,1,100,4
Entire home/apt,CENTRE,LOWER MOUNT ROYAL,83,5,3,2,121,2
Entire home/apt,CENTRE,UPPER MOUNT ROYAL,26,5,2,1,57,4
Private room,CENTRE,DOWNTOWN WEST END,0,,1,1,96,5
Entire home/apt,CENTRE,MOUNT PLEASANT,4,5,5,2,71,2
Private room,CENTRE,CRESCENT HEIGHTS,16,5,2,1,32,1
Entire home/apt,CENTRE,BELTLINE,1,,2,1,200,3
Entire home/apt,SOUTHEAST,RIVERBEND,0,,1,1,68,3
Entire home/apt,CENTRE,ERLTON,8,4.5,10,4,128,3
Private room,NORTH,HUNTINGTON HILLS,0,,1,1,27,1
Entire home/apt,CENTRE,PARKHILL,1,,5,2,121,3
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,9,4.5,4,1,71,3
Entire home/apt,CENTRE,MISSION,2,,7,5,280,2
Private room,CENTRE,ALTADORE,0,,1,1,62,1
Private room,SOUTHEAST,OGDEN,0,,2,1,48,1
Entire home/apt,WEST,GLAMORGAN,15,5,2,0,57,2
Entire home/apt,CENTRE,SUNNYSIDE,74,5,2,1,55,1
Private room,CENTRE,MISSION,25,4.5,2,1,47,1
Private room,SOUTH,CHAPARRAL,0,,1,1,62,1
Entire home/apt,WEST,PATTERSON,5,4,4,2,96,4
Private room,NORTHWEST,SCENIC ACRES,4,5,4,1,68,1
Private room,CENTRE,RICHMOND,1,,2,1,96,2
Private room,CENTRE,CAPITOL HILL,1,,2,1,36,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,1,1,143,2
Entire home/apt,CENTRE,CRESCENT HEIGHTS,0,,1,0,103,1
Entire home/apt,CENTRE,WEST HILLHURST,18,5,4,2,60,1
Private room,NORTHWEST,CHARLESWOOD,6,5,2,1,40,2
Private room,CENTRE,HILLHURST,0,,1,1,60,3
Entire home/apt,NORTH,SAGE HILL,6,5,4,2,79,1
Private room,NORTHEAST,SADDLE RIDGE,1,,2,1,34,1
Entire home/apt,CENTRE,BELTLINE,19,5,4,2,111,
Private room,NORTHWEST,EDGEMONT,13,5,2,1,36,1
Entire home/apt,CENTRE,BELTLINE,1,,2,1,127,2
Private room,CENTRE,CAMBRIAN HEIGHTS,2,,2,1,60,1
Entire home/apt,NORTHWEST,EDGEMONT,0,,2,1,44,7
Entire home/apt,CENTRE,CLIFF BUNGALOW,5,5,4,2,61,1
Private room,NORTHEAST,TARADALE,0,,2,1,32,1
Private room,CENTRE,BELTLINE,29,5,2,1,52,2
Entire home/apt,CENTRE,PARKDALE,1,,7,4,261,3
Private room,WEST,ROSSCARROCK,4,5,2,1,25,1
Private room,CENTRE,BANKVIEW,1,,4,1,101,3
Entire home/apt,CENTRE,BELTLINE,35,4.5,2,1,65,2
Private room,EAST,DOVER,2,,2,1,53,1
Private room,SOUTH,ACADIA,11,4.5,2,1,31,2
Entire home/apt,CENTRE,BELTLINE,23,5,3,2,88,2
Private room,CENTRE,BELTLINE,56,5,2,1,39,1
Private room,CENTRE,TUXEDO PARK,20,5,4,1,40,2
Private room,WEST,CURRIE BARRACKS,6,4.5,2,1,60,1
Entire home/apt,NORTHWEST,CITADEL,3,4.5,2,2,48,2
Private room,CENTRE,BELTLINE,0,,2,1,64,5
Private room,NORTHWEST,CHARLESWOOD,5,5,2,1,41,1
Private room,CENTRE,CRESCENT HEIGHTS,12,5,2,1,39,1
Entire home/apt,CENTRE,MANCHESTER,5,5,4,2,96,1
Entire home/apt,CENTRE,KILLARNEY/GLENGARRY,19,5,4,1,56,1
Entire home/apt,CENTRE,BELTLINE,2,,4,2,160,1
Entire home/apt,CENTRE,BELTLINE,52,5,2,1,109,1
Entire home/apt,CENTRE,BANFF TRAIL,7,3.5,4,2,60,2
Entire home/apt,CENTRE,BELTLINE,53,4.5,4,2,95,2
Entire home/apt,CENTRE,RAMSAY,4,4,3,2,140,1
Private room,CENTRE,INGLEWOOD,0,,2,1,64,2
Entire home/apt,CENTRE,MISSION,19,4.5,5,2,320,3
Entire home/apt,CENTRE,CLIFF BUNGALOW,6,5,2,1,63,1
Entire home/apt,NORTHWEST,BRENTWOOD,30,4.5,5,2,67,2
Entire home/apt,CENTRE,HILLHURST,12,5,4,2,118,3
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,1,,1,1,64,3
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,2,,2,1,75,1
Private room,CENTRE,SUNNYSIDE,2,,2,1,71,1
Entire home/apt,NORTHWEST,CHARLESWOOD,9,4.5,2,0,63,2
Entire home/apt,CENTRE,BANKVIEW,0,,2,1,55,1
Entire home/apt,NORTH,KINCORA,4,5,12,4,236,3
Entire home/apt,NORTHWEST,ARBOUR LAKE,9,5,2,1,53,1
Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,42,5,2,1,85,2
Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,54,5,2,1,82,3
Entire home/apt,CENTRE,HILLHURST,112,5,3,2,72,1
Entire home/apt,CENTRE,BELTLINE,0,,3,1,361,3
Entire home/apt,SOUTHEAST,DOUGLASDALE/GLEN,0,,5,1,136,1
Entire home/apt,SOUTH,PALLISER,6,4.5,4,1,99,2
Entire home/apt,SOUTH,BRAESIDE,0,,3,2,100,1
Entire home/apt,WEST,NORTH GLENMORE PARK,2,,4,2,128,1
Entire home/apt,SOUTH,BRAESIDE,24,4.5,8,5,151,1
Entire home/apt,SOUTH,MILLRISE,0,,6,4,75,7
Entire home/apt,WEST,LINCOLN PARK,1,,4,2,76,2
Entire home/apt,SOUTH,CANYON MEADOWS,0,,6,2,100,5
Entire home/apt,WEST,NORTH GLENMORE PARK,11,5,2,1,48,1
Entire home/apt,SOUTH,HAYSBORO,0,,4,2,121,7
Entire home/apt,SOUTH,HAYSBORO,4,4,5,3,59,2
Entire home/apt,SOUTH,WOODLANDS,0,,8,3,285,1
Entire home/apt,SOUTH,SILVERADO,3,4.5,5,3,80,1
Entire home/apt,SOUTH,BRIDLEWOOD,0,,3,1,108,2
Entire home/apt,SOUTH,KINGSLAND,1,,4,1,44,1
Entire home/apt,WEST,GARRISON GREEN,1,,3,1,60,2
Entire home/apt,SOUTH,SOUTHWOOD,2,,5,1,52,2
Entire home/apt,SOUTH,CEDARBRAE,2,,4,2,64,3
Entire home/apt,SOUTH,CANYON MEADOWS,2,,4,2,96,2
Entire home/apt,SOUTH,HAYSBORO,5,4.5,4,2,55,1
Entire home/apt,SOUTH,PALLISER,20,4.5,3,1,41,3
Entire home/apt,SOUTH,SILVERADO,1,,6,3,160,
Entire home/apt,SOUTH,SHAWNESSY,6,5,4,1,72,1
Entire home/apt,SOUTH,BRIDLEWOOD,23,4.5,5,1,43,1
Entire home/apt,SOUTH,BRIDLEWOOD,17,5,5,3,71,2
Entire home/apt,SOUTH,EVERGREEN,21,5,2,1,40,
Entire home/apt,SOUTH,WOODBINE,4,4.5,10,5,200,3
Entire home/apt,SOUTH,CEDARBRAE,12,5,4,1,48,1
Entire home/apt,SOUTH,HAYSBORO,0,,3,2,121,1
Entire home/apt,SOUTH,HAYSBORO,0,,3,1,72,3
Entire home/apt,SOUTH,LEGACY,6,5,5,3,148,1
Entire home/apt,SOUTH,SOMERSET,0,,4,2,64,1
Entire home/apt,SOUTH,ACADIA,0,,2,2,53,1
Entire home/apt,SOUTHEAST,COPPERFIELD,6,5,6,4,192,2
Entire home/apt,SOUTHEAST,COPPERFIELD,0,,4,2,68,1
Entire home/apt,SOUTH,DEER RUN,3,4,4,3,104,1
Entire home/apt,SOUTHEAST,MCKENZIE TOWNE,0,,3,1,79,1
Entire home/apt,SOUTH,WILLOW PARK,2,,4,3,30,4
Entire home/apt,CENTRE,ELBOYA,0,,4,2,80,1
Entire home/apt,SOUTH,ACADIA,0,,6,1,160,1
Entire home/apt,SOUTH,MIDNAPORE,2,,4,2,76,2
Entire home/apt,SOUTH,MILLRISE,9,5,6,2,96,
Entire home/apt,SOUTH,LAKE BONAVISTA,0,,4,2,160,1
Entire home/apt,SOUTH,CANYON MEADOWS,0,,9,4,280,1
Entire home/apt,SOUTH,LAKE BONAVISTA,0,,2,1,79,1
Entire home/apt,SOUTH,MIDNAPORE,4,4.5,4,2,79,1
Entire home/apt,CENTRE,MANCHESTER,2,,5,2,160,1
Entire home/apt,SOUTH,SUNDANCE,0,,5,3,121,1
Entire home/apt,SOUTH,SILVERADO,1,,6,3,241,3
Entire home/apt,CENTRE,MANCHESTER,0,,4,2,172,1
Entire home/apt,SOUTH,CANYON MEADOWS,0,,5,0,384,2
Entire home/apt,SOUTH,HAYSBORO,0,,4,2,143,6
Entire home/apt,SOUTHEAST,MCKENZIE TOWNE,7,5,8,3,79,4
Entire home/apt,SOUTH,HAYSBORO,0,,2,1,160,3
Entire home/apt,SOUTHEAST,CRANSTON,3,4.5,4,2,143,3
Entire home/apt,SOUTH,MIDNAPORE,0,,4,2,87,1
Entire home/apt,SOUTH,SUNDANCE,1,,3,1,79,1
Entire home/apt,SOUTHEAST,AUBURN BAY,0,,2,1,103,1
Entire home/apt,SOUTHEAST,DOUGLASDALE/GLEN,16,5,6,4,143,7
Entire home/apt,SOUTHEAST,MCKENZIE TOWNE,3,5,8,5,180,7
Entire home/apt,SOUTHEAST,MCKENZIE LAKE,25,5,6,3,44,1
Entire home/apt,SOUTHEAST,DOUGLASDALE/GLEN,4,5,10,4,118,
Entire home/apt,SOUTH,SUNDANCE,6,5,6,3,74,1
Entire home/apt,SOUTH,MILLRISE,4,5,6,2,79,2
Entire home/apt,SOUTH,SHAWNESSY,20,4,3,3,64,1
Entire home/apt,SOUTHEAST,CRANSTON,2,,10,4,158,2
Entire home/apt,SOUTHEAST,AUBURN BAY,0,,4,1,103,1
Entire home/apt,SOUTHEAST,COPPERFIELD,2,,4,2,58,3
Entire home/apt,SOUTHEAST,AUBURN BAY,0,,2,1,61,3
Entire home/apt,SOUTHEAST,MCKENZIE TOWNE,0,,6,3,144,2
Entire home/apt,SOUTHEAST,MCKENZIE TOWNE,9,5,4,2,64,3
Entire home/apt,SOUTH,WALDEN,7,5,4,1,39,1
Entire home/apt,SOUTHEAST,AUBURN BAY,1,,2,1,112,2
Entire home/apt,SOUTHEAST,MCKENZIE TOWNE,2,,4,2,103,1
Entire home/apt,SOUTHEAST,MCKENZIE TOWNE,2,,4,2,60,3
Entire home/apt,SOUTHEAST,AUBURN BAY,44,5,4,2,39,1
Entire home/apt,SOUTHEAST,COPPERFIELD,7,4,4,2,64,2
Entire home/apt,SOUTHEAST,NEW BRIGHTON,4,5,4,2,119,2
Entire home/apt,SOUTHEAST,AUBURN BAY,5,4.5,5,2,68,2
Entire home/apt,SOUTHEAST,AUBURN BAY,15,4.5,4,2,80,2
Entire home/apt,SOUTHEAST,AUBURN BAY,0,,7,3,79,2
Entire home/apt,SOUTHEAST,NEW BRIGHTON,29,5,2,1,60,1
Entire home/apt,SOUTHEAST,AUBURN BAY,5,5,4,2,78,2
Entire home/apt,NORTHWEST,BOWNESS,0,,4,2,62,3
Entire home/apt,WEST,ASPEN WOODS,1,,5,3,180,3
Entire home/apt,WEST,WEST SPRINGS,4,4,4,2,76,2
Entire home/apt,WEST,WEST SPRINGS,2,,4,2,152,1
Entire home/apt,WEST,WEST SPRINGS,1,,6,4,280,2
Entire home/apt,NORTHWEST,BOWNESS,0,,1,2,64,1
Entire home/apt,WEST,SIGNAL HILL,0,,4,3,90,1
Entire home/apt,WEST,CANADA OLYMPIC PARK,0,,4,3,465,1
Entire home/apt,WEST,DISCOVERY RIDGE,0,,4,4,157,2
Entire home/apt,WEST,ASPEN WOODS,1,,2,1,68,3
